'Page Number,'Type,'Text,'Confidence Score % (Line),
"'1","'LINE","'Annam Gourmet Estella","'99.55089569"
"'1","'LINE","'L1-21, 22, 24, L2-23 TTTM Estella Place, so","'88.71592712"
"'1","'LINE","'88, Duong Song Hanh, Khu Phó 5, Phirong An","'74.90953827"
"'1","'LINE","'Phú, Thanh phô Thu Due","'74.12049103"
"'1","'LINE","'Tel.:0328943085","'95.78713226"
"'1","'LINE","'https://shop.annam-gourmet.com","'77.65834045"
"'1","'LINE","'Receipt No..: SEST-ST09-141348","'92.78593445"
"'1","'LINE","'Date. 3/24/2024","'97.05874634"
"'1","'LINE","'Time.: 12:34","'92.02068329"
"'1","'LINE","'Terminal. RRGSEST09","'89.94027710"
"'1","'LINE","'Cashier..... : Nguyên Thanh Huyên","'84.18035889"
"'1","'LINE","'Customer No. :","'96.81060028"
"'1","'LINE","'VN","'99.57358551"
"'1","'LINE","'Cust. name. HCM Retail Customer One-time","'98.34844208"
"'1","'LINE","'Item","'96.58658600"
"'1","'LINE","'Description","'99.79356384"
"'1","'LINE","'Amount","'99.77886963"
"'1","'LINE","'231690640001CHomemade Ice Cream - 1 Scoop 60g","'91.37511444"
"'1","'LINE","'ACG Kem ty chon - 1 vien 60g (0c quê)","'78.12783813"
"'1","'LINE","'1","'98.02000427"
"'1","'LINE","'35,000","'98.24958801"
"'1","'LINE","'35,000","'98.33559418"
"'1","'LINE","'2316607400012Homemade Ice Cream - I Scoop (Cup","'92.71688843"
"'1","'LINE","'ACG Kem tu chon - 1 vien (Ly)","'87.68413544"
"'1","'LINE","'1","'96.49195099"
"'1","'LINE","'35,000","'98.41056824"
"'1","'LINE","'35,000","'99.27732849"
"'1","'LINE","'2314158900012Homemade Butter Croissant (PC)","'87.83781433"
"'1","'LINE","'Banh Sing Trau BO (PC)","'67.58367920"
"'1","'LINE","'I","'92.37502289"
"'1","'LINE","'26,000","'99.33683014"
"'1","'LINE","'26,000","'98.48829651"
"'1","'LINE","'2314275900025Homemade Mini Butter Croissant 30","'97.28919983"
"'1","'LINE","'Banh Sung Trau Bo Mini (Pc)","'82.64649963"
"'1","'LINE","'2","'99.28615570"
"'1","'LINE","'13,000","'98.51225281"
"'1","'LINE","'26,000","'97.75473785"
"'1","'LINE","'Total","'99.84808350"
"'1","'LINE","'122,000","'98.69449615"
"'1","'LINE","'MOMO","'99.25141144"
"'1","'LINE","'122,000","'98.25862885"
"'1","'LINE","'Momo 55433470969","'97.46558380"
"'1","'LINE","'Thank you for shopping at Annam Gourmet.","'98.28521729"
"'1","'LINE","'Paying with point will not affect your","'98.67654419"
"'1","'LINE","'progress to the next level.","'99.35322571"
"'1","'LINE","'VAT invoice issued available within","'99.08747864"
"'1","'LINE","'purchased date","'99.87419891"
"'1","'LINE","'Product exchange/return must be made","'98.60094452"
"'1","'LINE","'within 24 hours since purchase","'98.48664093"
"'1","'LINE","'1800pe & 1900636431 tions applied)","'68.38048553"
"'1","'LINE","'WILLINE:","'12.41304398"
